"team_name","score","event","ranking","eventname"
"FaZe Clan",301,1,1,"fall_reg1"
"The General NRG",250,1,2,"fall_reg1"
"Spacestation Gaming",200,1,3,"fall_reg1"
"Version1",200,1,4,"fall_reg1"
"Complexity Gaming",150,1,5,"fall_reg1"
"G2 Esports",150,1,6,"fall_reg1"
"Team Envy",150,1,7,"fall_reg1"
"XSET",150,1,8,"fall_reg1"
"Ghost Gaming",110,1,9,"fall_reg1"
"Soniqs",110,1,10,"fall_reg1"
"Torrent",110,1,11,"fall_reg1"
"Rogue",70,1,12,"fall_reg1"
"Shopify Rebellion",70,1,13,"fall_reg1"
"Stromboli",70,1,14,"fall_reg1"
"Gentlemen",40,1,15,"fall_reg1"
"Shine Media Orgless",40,1,16,"fall_reg1"
"Akrew",0,1,17,"fall_reg1"
"AllMid",0,1,18,"fall_reg1"
"AXLE-R8",0,1,19,"fall_reg1"
"Ducks on Quack",0,1,20,"fall_reg1"
"eUnited",0,1,21,"fall_reg1"
"Friends",0,1,22,"fall_reg1"
"Nefarious",0,1,23,"fall_reg1"
"Oxygen Esports",0,1,24,"fall_reg1"
"Randoms",0,1,25,"fall_reg1"
"sup",0,1,26,"fall_reg1"
"The General NRG",551,2,1,"fall_reg2"
"FaZe Clan",411,2,2,"fall_reg2"
"G2 Esports",400,2,3,"fall_reg2"
"Complexity Gaming",350,2,4,"fall_reg2"
"Spacestation Gaming",350,2,5,"fall_reg2"
"Team Envy",350,2,6,"fall_reg2"
"Version1",350,2,7,"fall_reg2"
"XSET",300,2,8,"fall_reg2"
"Ghost Gaming",260,2,9,"fall_reg2"
"Torrent",220,2,10,"fall_reg2"
"Soniqs",180,2,11,"fall_reg2"
"Rogue",140,2,12,"fall_reg2"
"Akrew",110,2,13,"fall_reg2"
"Shopify Rebellion",70,2,14,"fall_reg2"
"Stromboli",70,2,15,"fall_reg2"
"sup",70,2,16,"fall_reg2"
"eUnited",40,2,17,"fall_reg2"
"Gentlemen",40,2,18,"fall_reg2"
"Nefarious",40,2,19,"fall_reg2"
"Shine Media Orgless",40,2,20,"fall_reg2"
"AllMid",0,2,21,"fall_reg2"
"AXLE-R8",0,2,22,"fall_reg2"
"Ducks on Quack",0,2,23,"fall_reg2"
"Friends",0,2,24,"fall_reg2"
"Oxygen Esports",0,2,25,"fall_reg2"
"Randoms",0,2,26,"fall_reg2"
"The General NRG",751,3,1,"fall_reg3"
"G2 Esports",701,3,2,"fall_reg3"
"FaZe Clan",611,3,3,"fall_reg3"
"Team Envy",600,3,4,"fall_reg3"
"Complexity Gaming",500,3,5,"fall_reg3"
"Spacestation Gaming",500,3,6,"fall_reg3"
"Ghost Gaming",410,3,7,"fall_reg3"
"Version1",390,3,8,"fall_reg3"
"XSET",370,3,9,"fall_reg3"
"Torrent",220,3,10,"fall_reg3"
"Rogue",210,3,11,"fall_reg3"
"Soniqs",180,3,12,"fall_reg3"
"Stromboli",180,3,13,"fall_reg3"
"Akrew",150,3,14,"fall_reg3"
"eUnited",150,3,15,"fall_reg3"
"Oxygen Esports",150,3,16,"fall_reg3"
"Ducks on Quack",110,3,17,"fall_reg3"
"AXLE-R8",70,3,18,"fall_reg3"
"Shopify Rebellion",70,3,19,"fall_reg3"
"sup",70,3,20,"fall_reg3"
"Gentlemen",40,3,21,"fall_reg3"
"Nefarious",40,3,22,"fall_reg3"
"Shine Media Orgless",40,3,23,"fall_reg3"
"AllMid",0,3,24,"fall_reg3"
"Friends",0,3,25,"fall_reg3"
"Randoms",0,3,26,"fall_reg3"
"The General NRG",1251,4,1,"fall_maj"
"FaZe Clan",1011,4,2,"fall_maj"
"G2 Esports",921,4,3,"fall_maj"
"Complexity Gaming",800,4,4,"fall_maj"
"Team Envy",740,4,5,"fall_maj"
"Spacestation Gaming",500,4,6,"fall_maj"
"Ghost Gaming",410,4,7,"fall_maj"
"Version1",390,4,8,"fall_maj"
"XSET",370,4,9,"fall_maj"
"Torrent",220,4,10,"fall_maj"
"Rogue",210,4,11,"fall_maj"
"Soniqs",180,4,12,"fall_maj"
"Stromboli",180,4,13,"fall_maj"
"Akrew",150,4,14,"fall_maj"
"eUnited",150,4,15,"fall_maj"
"Oxygen Esports",150,4,16,"fall_maj"
"Ducks on Quack",110,4,17,"fall_maj"
"AXLE-R8",70,4,18,"fall_maj"
"Shopify Rebellion",70,4,19,"fall_maj"
"sup",70,4,20,"fall_maj"
"Gentlemen",40,4,21,"fall_maj"
"Nefarious",40,4,22,"fall_maj"
"Shine Media Orgless",40,4,23,"fall_maj"
"AllMid",0,4,24,"fall_maj"
"Friends",0,4,25,"fall_maj"
"Randoms",0,4,26,"fall_maj"
"The General NRG",1602,5,1,"win_reg1"
"FaZe Clan",1271,5,2,"win_reg1"
"G2 Esports",1111,5,3,"win_reg1"
"Complexity Gaming",960,5,4,"win_reg1"
"Spacestation Gaming",800,5,5,"win_reg1"
"Team Envy",800,5,6,"win_reg1"
"Version1",610,5,7,"win_reg1"
"Ghost Gaming",470,5,8,"win_reg1"
"XSET",430,5,9,"win_reg1"
"Oxygen Esports",340,5,10,"win_reg1"
"Rogue",320,5,11,"win_reg1"
"Soniqs",290,5,12,"win_reg1"
"Torrent",280,5,13,"win_reg1"
"Akrew",260,5,14,"win_reg1"
"Shopify Rebellion",230,5,15,"win_reg1"
"Stromboli",180,5,16,"win_reg1"
"sup",180,5,17,"win_reg1"
"eUnited",150,5,18,"win_reg1"
"Ducks on Quack",110,5,19,"win_reg1"
"AXLE-R8",70,5,20,"win_reg1"
"Gentlemen",40,5,21,"win_reg1"
"Nefarious",40,5,22,"win_reg1"
"Shine Media Orgless",40,5,23,"win_reg1"
"AllMid",0,5,24,"win_reg1"
"Friends",0,5,25,"win_reg1"
"Randoms",0,5,26,"win_reg1"
"The General NRG",1902,6,1,"win_reg2"
"FaZe Clan",1531,6,2,"win_reg2"
"G2 Esports",1462,6,3,"win_reg2"
"Complexity Gaming",1020,6,4,"win_reg2"
"Spacestation Gaming",1020,6,5,"win_reg2"
"Team Envy",960,6,6,"win_reg2"
"Version1",720,6,7,"win_reg2"
"XSET",590,6,8,"win_reg2"
"Ghost Gaming",530,6,9,"win_reg2"
"Oxygen Esports",530,6,10,"win_reg2"
"Rogue",510,6,11,"win_reg2"
"Soniqs",350,6,12,"win_reg2"
"Shopify Rebellion",340,6,13,"win_reg2"
"Stromboli",290,6,14,"win_reg2"
"Torrent",280,6,15,"win_reg2"
"Akrew",260,6,16,"win_reg2"
